Week Ending,MMTC Name,Dispensing Locations,Medical Marijuana (mg THC),Low-THC Cannabis (mg CBD),Smoking (oz)
2026-01-16,Insa - Cannabis for Real Life,9,3436818,0,1290.278
2026-01-16,One Plant Cannabis,6,1945686,0,341.798
2026-01-16,"Eden Florida, LLC",2,111379,0,30.25
2026-01-16,Fino Cannabis,0,0,0,0.0
2026-01-16,"Prosperity Medical, LLC",0,0,0,0.0
2026-01-16,Revolution Florida,0,0,0,0.0
2026-01-16,"TheraTrue Florida, LLC",0,0,0,0.0
2026-01-23,Trulieve,163,119648692,0,49706.962
2026-01-23,MÜV,83,51369020,0,14324.717
2026-01-23,"Curaleaf Florida, LLC",70,43183215,0,13832.598
2026-01-23,Ayr Cannabis Dispensary,66,40320033,0,9765.709
2026-01-23,Surterra Wellness,45,27731597,0,5518.842
2026-01-23,Green Dragon,40,15407186,0,4956.05
2026-01-23,FLUENT,33,16399374,0,4417.756
2026-01-23,Sunnyside*,31,12717007,0,6246.551
2026-01-23,GrowHealthy,25,9827568,145,2922.374
2026-01-23,Sanctuary Cannabis,25,9435004,0,5440.102
2026-01-23,"GTI Florida, LLC",22,16445908,0,3591.409
2026-01-23,Cookies Florida,19,7686978,0,2766.409
2026-01-23,The Flowery,16,7114831,0,2386.946
2026-01-23,Jungle Boys,15,8570983,0,4850.983
2026-01-23,Sunburn,15,11767124,0,2932.614
2026-01-23,Mint Cannabis,14,3392767,0,674.597
2026-01-23,Goldflower Cannabis,12,8102467,0,773.485
2026-01-23,Insa - Cannabis for Real Life,9,3346838,0,1288.736
2026-01-23,One Plant Cannabis,6,1970961,0,383.404
2026-01-23,"Eden Florida, LLC",2,71975,0,25.952
2026-01-23,Fino Cannabis,0,0,0,0.0
2026-01-23,"Prosperity Medical, LLC",0,0,0,0.0
2026-01-23,Revolution Florida,0,0,0,0.0
2026-01-23,"TheraTrue Florida, LLC",0,0,0,0.0
2026-01-30,Trulieve,163,99902664,0,49031.739
2026-01-30,MÜV,83,52601584,0,15174.552
2026-01-30,"Curaleaf Florida, LLC",70,46718586,0,14090.102
2026-01-30,Ayr Cannabis Dispensary,64,41720182,0,9694.555
2026-01-30,Surterra Wellness,45,31374038,0,7327.628
2026-01-30,Green Dragon,40,13602064,0,4494.106
2026-01-30,FLUENT,33,14430701,0,4903.952
2026-01-30,Sunnyside*,31,12115294,0,6228.558
2026-01-30,GrowHealthy,25,9186143,145,2710.536
2026-01-30,Sanctuary Cannabis,25,10356455,0,5966.612
2026-01-30,"GTI Florida, LLC",22,16961103,0,3563.396
2026-01-30,Cookies Florida,19,7509299,0,2837.287
2026-01-30,The Flowery,16,8177064,0,2650.741
2026-01-30,Jungle Boys,15,8483562,0,4688.724
2026-01-30,Sunburn,15,13457263,0,3229.111
2026-01-30,Mint Cannabis,14,3312096,0,670.816
2026-01-30,Goldflower Cannabis,12,10269391,0,912.049
2026-01-30,Insa - Cannabis for Real Life,9,3368435,0,1276.084
2026-01-30,One Plant Cannabis,6,2157031,0,387.609
2026-01-30,"Eden Florida, LLC",2,70354,0,20.62
2026-01-30,Fino Cannabis,0,0,0,0.0
2026-01-30,"Prosperity Medical, LLC",0,0,0,0.0
2026-01-30,Revolution Florida,0,0,0,0.0
2026-01-30,"TheraTrue Florida, LLC",0,0,0,0.0
2026-02-06,Trulieve,163,112939336,0,52944.804
2026-02-06,MÜV,83,48222723,0,15918.094
2026-02-06,"Curaleaf Florida, LLC",70,50282701,0,14859.722
2026-02-06,Ayr Cannabis Dispensary,64,41952653,0,9480.856
2026-02-06,Surterra Wellness,45,33518580,0,6867.648
2026-02-06,Green Dragon,40,13841367,0,4208.741
2026-02-06,FLUENT,32,15328733,0,4691.111
2026-02-06,Sunnyside*,31,12041218,0,6152.431
2026-02-06,GrowHealthy,25,9151687,435,2590.307
2026-02-06,Sanctuary Cannabis,25,9810778,0,6167.96
2026-02-06,"GTI Florida, LLC",22,17639185,0,3630.281
2026-02-06,Cookies Florida,19,7924911,0,3115.797
2026-02-06,The Flowery,16,7685830,0,2623.113
2026-02-06,Jungle Boys,15,8556032,0,4594.188
2026-02-06,Sunburn,15,13236992,0,2864.582
2026-02-06,Mint Cannabis,14,3243137,0,562.491
2026-02-06,Goldflower Cannabis,12,10473079,0,1216.457
2026-02-06,Insa - Cannabis for Real Life,9,3428142,0,1190.24
2026-02-06,One Plant Cannabis,6,2075591,0,366.046
2026-02-06,"Eden Florida, LLC",2,81172,0,25.529
2026-02-06,Fino Cannabis,0,0,0,0.0
2026-02-06,"Prosperity Medical, LLC",0,0,0,23.582
2026-02-06,Revolution Florida,0,0,0,0.0
2026-02-06,"TheraTrue Florida, LLC",0,0,0,0.0
2026-02-13,Trulieve,163,104166410,0,49407.017
2026-02-13,MÜV,83,44710734,0,15355.666
2026-02-13,"Curaleaf Florida, LLC",70,52905764,0,14729.508
2026-02-13,Ayr Cannabis Dispensary,64,40389191,0,8546.564
2026-02-13,Surterra Wellness,45,27048997,0,7457.85
2026-02-13,Green Dragon,40,13639239,0,4246.212
2026-02-13,FLUENT,32,15926193,0,5599.104
2026-02-13,Sunnyside*,31,12292290,0,6305.209
2026-02-13,GrowHealthy,25,9833777,398,2720.884
2026-02-13,Sanctuary Cannabis,25,7905879,0,5366.45
2026-02-13,"GTI Florida, LLC",22,16797636,0,3522.652
2026-02-13,Cookies Florida,19,7923800,0,3229.632
2026-02-13,The Flowery,16,7682936,0,2474.55
2026-02-13,Jungle Boys,15,9243916,0,4545.361
2026-02-13,Sunburn,15,9757737,0,2240.254
2026-02-13,Mint Cannabis,14,3360853,0,731.707
2026-02-13,Goldflower Cannabis,12,10339017,0,1147.901
2026-02-13,Insa - Cannabis for Real Life,9,3232183,0,1116.37
2026-02-13,One Plant Cannabis,6,2056924,0,409.593
2026-02-13,"Eden Florida, LLC",2,57565,0,36.6
2026-02-13,Fino Cannabis,0,0,0,0.0
2026-02-13,"Prosperity Medical, LLC",0,0,0,0.0
2026-02-13,Revolution Florida,0,0,0,0.0
2026-02-13,"TheraTrue Florida, LLC",0,0,0,0.0
2026-02-20,Trulieve,163,115808008,0,48079.87
2026-02-20,MÜV,83,50124283,0,16759.847
2026-02-20,"Curaleaf Florida, LLC",70,48973246,0,14610.049
2026-02-20,Ayr Cannabis Dispensary,64,38442733,0,8339.77
2026-02-20,Surterra Wellness,45,34381099,0,6331.607
2026-02-20,Green Dragon,40,13450848,0,4095.715
2026-02-20,FLUENT,32,15140432,0,4878.999
2026-02-20,Sunnyside*,31,13125158,0,6377.285
2026-02-20,GrowHealthy,25,9945339,0,2687.39
2026-02-20,Sanctuary Cannabis,25,9354701,0,5411.234
2026-02-20,"GTI Florida, LLC",22,16845026,0,3470.919
2026-02-20,Cookies Florida,19,9584903,0,3546.598
2026-02-20,The Flowery,16,8081733,0,2703.398
2026-02-20,Jungle Boys,15,9063639,0,4825.019
2026-02-20,Sunburn,15,12718010,0,2778.575
2026-02-20,Mint Cannabis,14,3192643,0,705.068
2026-02-20,Goldflower Cannabis,12,11418569,0,1340.78
2026-02-20,Insa - Cannabis for Real Life,9,3399314,0,1162.456
2026-02-20,One Plant Cannabis,6,1836956,0,392.8
2026-02-20,"Eden Florida, LLC",2,59853,0,29.616
2026-02-20,Fino Cannabis,0,0,0,0.0
2026-02-20,"Prosperity Medical, LLC",0,0,0,0.0
2026-02-20,Revolution Florida,0,0,0,0.0
2026-02-20,"TheraTrue Florida, LLC",0,0,0,0.0
2026-02-27,Trulieve,163,108013543,0,50140.222
2026-02-27,MÜV,83,52630452,0,16705.209
2026-02-27,"Curaleaf Florida, LLC",70,50214282,0,14723.006
2026-02-27,Ayr Cannabis Dispensary,64,39844074,0,8362.443
2026-02-27,Surterra Wellness,45,44233478,0,7179.884
2026-02-27,Green Dragon,40,14224907,0,4045.215
2026-02-27,FLUENT,32,15954937,0,4615.88
2026-02-27,Sunnyside*,31,13344331,0,6393.945
2026-02-27,GrowHealthy,25,10584832,0,2701.396
2026-02-27,Sanctuary Cannabis,25,10504506,0,5671.758
2026-02-27,"GTI Florida, LLC",22,17918452,0,3639.815
2026-02-27,Cookies Florida,19,10969381,0,3737.725
2026-02-27,The Flowery,16,8485956,0,2925.863
2026-02-27,Jungle Boys,15,9488157,0,4838.599
2026-02-27,Sunburn,15,11630590,0,2971.123
2026-02-27,Mint Cannabis,14,3295091,0,668.352
2026-02-27,Goldflower Cannabis,13,12458101,0,1508.774
2026-02-27,Insa - Cannabis for Real Life,9,3258469,0,1235.163
2026-02-27,One Plant Cannabis,6,2102044,0,401.898
2026-02-27,"Eden Florida, LLC",2,58525,0,28.157
2026-02-27,Fino Cannabis,0,0,0,0.0
2026-02-27,"Prosperity Medical, LLC",0,0,0,0.0
2026-02-27,Revolution Florida,0,0,0,0.0
2026-02-27,"TheraTrue Florida, LLC",0,0,0,0.0
2026-03-06,Trulieve,163,111422389,0,52236.161
2026-03-06,MÜV,83,51913699,0,16526.245
2026-03-06,"Curaleaf Florida, LLC",70,47901645,0,15540.445
2026-03-06,Ayr Cannabis Dispensary,64,40660365,0,8692.424
2026-03-06,Surterra Wellness,45,39195130,0,7604.684
2026-03-06,Green Dragon,40,13527127,0,3671.508
2026-03-06,FLUENT,32,16237550,0,4778.389
2026-03-06,Sunnyside*,31,12581297,0,6428.433
2026-03-06,GrowHealthy,25,10586661,145,2477.832
2026-03-06,Sanctuary Cannabis,25,9923198,0,4970.436
2026-03-06,"GTI Florida, LLC",22,17544906,0,3706.038
2026-03-06,Cookies Florida,19,9197545,0,3839.31
2026-03-06,The Flowery,16,8476906,0,2797.633
2026-03-06,Jungle Boys,15,9837243,0,4892.521
2026-03-06,Sunburn,15,11095127,0,2432.362
2026-03-06,Mint Cannabis,14,3578897,770,688.625
2026-03-06,Goldflower Cannabis,13,12512889,0,1558.302
2026-03-06,Insa - Cannabis for Real Life,9,3032878,0,1133.973
2026-03-06,One Plant Cannabis,6,1919130,0,352.398
2026-03-06,"Eden Florida, LLC",2,59293,0,38.032
2026-03-06,Fino Cannabis,0,0,0,0.0
2026-03-06,"Prosperity Medical, LLC",0,0,0,1.235
2026-03-06,Revolution Florida,0,0,0,0.0
2026-03-06,"TheraTrue Florida, LLC",0,0,0,0.0
2026-03-13,Trulieve,165,114961623,0,52260.849
2026-03-13,MÜV,84,46794964,0,15858.96
2026-03-13,"Curaleaf Florida, LLC",70,46317928,0,14858.518
2026-03-13,Ayr Cannabis Dispensary,64,38823930,0,8793.593
2026-03-13,Surterra Wellness,45,32898462,0,7101.181
2026-03-13,Green Dragon,40,14558881,0,3465.12
2026-03-13,FLUENT,32,15896951,0,4451.284
2026-03-13,Sunnyside*,31,12969671,0,6529.377
2026-03-13,GrowHealthy,25,11460148,1160,2851.084
2026-03-13,Sanctuary Cannabis,25,9876652,0,5033.914
2026-03-13,"GTI Florida, LLC",22,17132612,0,3765.709
2026-03-13,Cookies Florida,19,8578545,0,3871.523
2026-03-13,The Flowery,16,7568301,0,2760.915
2026-03-13,Jungle Boys,15,9641268,0,4759.275
2026-03-13,Sunburn,15,11588951,0,2698.068
2026-03-13,Mint Cannabis,14,3966644,1750,711.095
2026-03-13,Goldflower Cannabis,13,12881126,0,1586.112
2026-03-13,Insa - Cannabis for Real Life,9,3200608,0,1136.917
2026-03-13,One Plant Cannabis,6,2014878,0,372.639
2026-03-13,"Eden Florida, LLC",2,37788,0,26.736
2026-03-13,Fino Cannabis,0,0,0,0.0
2026-03-13,"Prosperity Medical, LLC",0,0,0,0.0
